"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2022 00:00 - 01/01/2022 00:15","Germany (DE)","44646.09","42575.26"
"01/01/2022 00:15 - 01/01/2022 00:30","Germany (DE)","44234.79","42210.76"
"01/01/2022 00:30 - 01/01/2022 00:45","Germany (DE)","43727.32","41807.60"
"01/01/2022 00:45 - 01/01/2022 01:00","Germany (DE)","43053.73","41363.70"
"01/01/2022 01:00 - 01/01/2022 01:15","Germany (DE)","42195.81","40794.67"
"01/01/2022 01:15 - 01/01/2022 01:30","Germany (DE)","41803.94","40204.66"
"01/01/2022 01:30 - 01/01/2022 01:45","Germany (DE)","41140.73","39826.19"
"01/01/2022 01:45 - 01/01/2022 02:00","Germany (DE)","41002.15","39595.66"
"01/01/2022 02:00 - 01/01/2022 02:15","Germany (DE)","41177.78","39231.18"
"01/01/2022 02:15 - 01/01/2022 02:30","Germany (DE)","40635.17","39031.52"
"01/01/2022 02:30 - 01/01/2022 02:45","Germany (DE)","40162.04","38494.84"
"01/01/2022 02:45 - 01/01/2022 03:00","Germany (DE)","39948.17","38378.34"
"01/01/2022 03:00 - 01/01/2022 03:15","Germany (DE)","39669.79","38005.30"
"01/01/2022 03:15 - 01/01/2022 03:30","Germany (DE)","39560.13","37793.67"
"01/01/2022 03:30 - 01/01/2022 03:45","Germany (DE)","39546.66","37719.43"
"01/01/2022 03:45 - 01/01/2022 04:00","Germany (DE)","39478.62","37486.29"
"01/01/2022 04:00 - 01/01/2022 04:15","Germany (DE)","39448.72","37884.91"
"01/01/2022 04:15 - 01/01/2022 04:30","Germany (DE)","39279.36","37891.20"
"01/01/2022 04:30 - 01/01/2022 04:45","Germany (DE)","39484.64","37925.85"
"01/01/2022 04:45 - 01/01/2022 05:00","Germany (DE)","39139.62","37807.30"
"01/01/2022 05:00 - 01/01/2022 05:15","Germany (DE)","39112.06","37467.27"
"01/01/2022 05:15 - 01/01/2022 05:30","Germany (DE)","38926.30","37212.38"
"01/01/2022 05:30 - 01/01/2022 05:45","Germany (DE)","38799.53","36977.39"
"01/01/2022 05:45 - 01/01/2022 06:00","Germany (DE)","38468.19","36535.42"
"01/01/2022 06:00 - 01/01/2022 06:15","Germany (DE)","38358.19","35440.04"
"01/01/2022 06:15 - 01/01/2022 06:30","Germany (DE)","38388.84","35730.77"
"01/01/2022 06:30 - 01/01/2022 06:45","Germany (DE)","38396.72","35519.74"
"01/01/2022 06:45 - 01/01/2022 07:00","Germany (DE)","38508.00","35737.30"
"01/01/2022 07:00 - 01/01/2022 07:15","Germany (DE)","38967.99","35964.68"
"01/01/2022 07:15 - 01/01/2022 07:30","Germany (DE)","38901.84","36698.56"
"01/01/2022 07:30 - 01/01/2022 07:45","Germany (DE)","39125.04","37188.84"
"01/01/2022 07:45 - 01/01/2022 08:00","Germany (DE)","39310.11","37769.73"
"01/01/2022 08:00 - 01/01/2022 08:15","Germany (DE)","39972.80","38669.29"
"01/01/2022 08:15 - 01/01/2022 08:30","Germany (DE)","40272.72","39050.72"
"01/01/2022 08:30 - 01/01/2022 08:45","Germany (DE)","40338.11","39663.10"
"01/01/2022 08:45 - 01/01/2022 09:00","Germany (DE)","40612.85","40478.33"
"01/01/2022 09:00 - 01/01/2022 09:15","Germany (DE)","41769.07","41202.16"
"01/01/2022 09:15 - 01/01/2022 09:30","Germany (DE)","42323.40","41942.24"
"01/01/2022 09:30 - 01/01/2022 09:45","Germany (DE)","42834.97","42750.47"
"01/01/2022 09:45 - 01/01/2022 10:00","Germany (DE)","43113.11","43449.17"
"01/01/2022 10:00 - 01/01/2022 10:15","Germany (DE)","43583.52","43998.72"
"01/01/2022 10:15 - 01/01/2022 10:30","Germany (DE)","44138.39","44462.14"
"01/01/2022 10:30 - 01/01/2022 10:45","Germany (DE)","44616.81","44872.67"
"01/01/2022 10:45 - 01/01/2022 11:00","Germany (DE)","45189.31","45773.65"
"01/01/2022 11:00 - 01/01/2022 11:15","Germany (DE)","45882.53","46587.96"
"01/01/2022 11:15 - 01/01/2022 11:30","Germany (DE)","46611.71","47374.46"
"01/01/2022 11:30 - 01/01/2022 11:45","Germany (DE)","47215.76","48334.45"
"01/01/2022 11:45 - 01/01/2022 12:00","Germany (DE)","47217.45","48299.59"
"01/01/2022 12:00 - 01/01/2022 12:15","Germany (DE)","47288.41","48647.93"
"01/01/2022 12:15 - 01/01/2022 12:30","Germany (DE)","47339.48","48702.58"
"01/01/2022 12:30 - 01/01/2022 12:45","Germany (DE)","47726.95","48519.02"
"01/01/2022 12:45 - 01/01/2022 13:00","Germany (DE)","46901.13","48564.19"
"01/01/2022 13:00 - 01/01/2022 13:15","Germany (DE)","46557.13","47939.68"
"01/01/2022 13:15 - 01/01/2022 13:30","Germany (DE)","46248.59","47369.56"
"01/01/2022 13:30 - 01/01/2022 13:45","Germany (DE)","46380.05","47129.28"
"01/01/2022 13:45 - 01/01/2022 14:00","Germany (DE)","46378.76","46886.44"
"01/01/2022 14:00 - 01/01/2022 14:15","Germany (DE)","45912.08","46507.50"
"01/01/2022 14:15 - 01/01/2022 14:30","Germany (DE)","45687.34","46098.94"
"01/01/2022 14:30 - 01/01/2022 14:45","Germany (DE)","45655.02","45957.76"
"01/01/2022 14:45 - 01/01/2022 15:00","Germany (DE)","45659.66","45693.17"
"01/01/2022 15:00 - 01/01/2022 15:15","Germany (DE)","45728.47","45843.96"
"01/01/2022 15:15 - 01/01/2022 15:30","Germany (DE)","45528.92","45746.16"
"01/01/2022 15:30 - 01/01/2022 15:45","Germany (DE)","45606.08","45722.83"
"01/01/2022 15:45 - 01/01/2022 16:00","Germany (DE)","45869.36","46424.57"
"01/01/2022 16:00 - 01/01/2022 16:15","Germany (DE)","46583.90","46472.31"
"01/01/2022 16:15 - 01/01/2022 16:30","Germany (DE)","47241.04","47036.45"
"01/01/2022 16:30 - 01/01/2022 16:45","Germany (DE)","48296.74","48190.21"
"01/01/2022 16:45 - 01/01/2022 17:00","Germany (DE)","49493.27","49362.68"
"01/01/2022 17:00 - 01/01/2022 17:15","Germany (DE)","50701.47","50169.55"
"01/01/2022 17:15 - 01/01/2022 17:30","Germany (DE)","51394.46","50800.20"
"01/01/2022 17:30 - 01/01/2022 17:45","Germany (DE)","52065.18","51180.51"
"01/01/2022 17:45 - 01/01/2022 18:00","Germany (DE)","52322.31","51446.25"
"01/01/2022 18:00 - 01/01/2022 18:15","Germany (DE)","52605.63","51817.33"
"01/01/2022 18:15 - 01/01/2022 18:30","Germany (DE)","52789.90","52015.89"
"01/01/2022 18:30 - 01/01/2022 18:45","Germany (DE)","52580.11","52074.18"
"01/01/2022 18:45 - 01/01/2022 19:00","Germany (DE)","52405.43","51650.51"
"01/01/2022 19:00 - 01/01/2022 19:15","Germany (DE)","52136.04","51423.89"
"01/01/2022 19:15 - 01/01/2022 19:30","Germany (DE)","51881.80","50487.65"
"01/01/2022 19:30 - 01/01/2022 19:45","Germany (DE)","51539.07","50640.00"
"01/01/2022 19:45 - 01/01/2022 20:00","Germany (DE)","50923.08","49923.19"
