"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2015 00:00 - 01/01/2015 01:00","Italy (IT)","24405.00","25586.00"
"01/01/2015 01:00 - 01/01/2015 02:00","Italy (IT)","23126.00","24076.00"
"01/01/2015 02:00 - 01/01/2015 03:00","Italy (IT)","21534.00","22419.00"
"01/01/2015 03:00 - 01/01/2015 04:00","Italy (IT)","20219.00","21020.00"
"01/01/2015 04:00 - 01/01/2015 05:00","Italy (IT)","19470.00","19903.00"
"01/01/2015 05:00 - 01/01/2015 06:00","Italy (IT)","19485.00","19565.00"
"01/01/2015 06:00 - 01/01/2015 07:00","Italy (IT)","20349.00","20539.00"
"01/01/2015 07:00 - 01/01/2015 08:00","Italy (IT)","20715.00","20815.00"
"01/01/2015 08:00 - 01/01/2015 09:00","Italy (IT)","21092.00","21117.00"
"01/01/2015 09:00 - 01/01/2015 10:00","Italy (IT)","22776.00","23205.00"
"01/01/2015 10:00 - 01/01/2015 11:00","Italy (IT)","24243.00","25747.00"
"01/01/2015 11:00 - 01/01/2015 12:00","Italy (IT)","25601.00","27552.00"
"01/01/2015 12:00 - 01/01/2015 13:00","Italy (IT)","25790.00","27853.00"
"01/01/2015 13:00 - 01/01/2015 14:00","Italy (IT)","24249.00","26147.00"
"01/01/2015 14:00 - 01/01/2015 15:00","Italy (IT)","23416.00","24608.00"
"01/01/2015 15:00 - 01/01/2015 16:00","Italy (IT)","23716.00","24108.00"
"01/01/2015 16:00 - 01/01/2015 17:00","Italy (IT)","25405.00","24820.00"
"01/01/2015 17:00 - 01/01/2015 18:00","Italy (IT)","29787.00","28430.00"
"01/01/2015 18:00 - 01/01/2015 19:00","Italy (IT)","30946.00","29663.00"
"01/01/2015 19:00 - 01/01/2015 20:00","Italy (IT)","31359.00","30473.00"
"01/01/2015 20:00 - 01/01/2015 21:00","Italy (IT)","30611.00","29978.00"
"01/01/2015 21:00 - 01/01/2015 22:00","Italy (IT)","29168.00","28560.00"
"01/01/2015 22:00 - 01/01/2015 23:00","Italy (IT)","26859.00","26425.00"
"01/01/2015 23:00 - 02/01/2015 00:00","Italy (IT)","24116.00","24163.00"
"02/01/2015 00:00 - 02/01/2015 01:00","Italy (IT)","21568.00","21359.00"
"02/01/2015 01:00 - 02/01/2015 02:00","Italy (IT)","19764.00","19549.00"
"02/01/2015 02:00 - 02/01/2015 03:00","Italy (IT)","18755.00","18676.00"
"02/01/2015 03:00 - 02/01/2015 04:00","Italy (IT)","18412.00","18457.00"
"02/01/2015 04:00 - 02/01/2015 05:00","Italy (IT)","18558.00","18645.00"
"02/01/2015 05:00 - 02/01/2015 06:00","Italy (IT)","19810.00","20498.00"
"02/01/2015 06:00 - 02/01/2015 07:00","Italy (IT)","22878.00","23243.00"
